location_prefix,count
鲁山县人民路东段路北,52
鲁山县人民路东段,35
鲁山县东关大街,31
鲁山县下汤镇老街村,183
鲁山县下汤镇新街村,194
魔筷星选:http://s.wudiboss.cn/,36
魏集市场,37
魏都路,52
魏都区解放路,108
魏都区西大街中段,60
魏都区西大街,41
魏都区西关街道三李社区,35
魏都区袁庄社区,87
魏都区白庙后街,38
魏都区洞上社区,75
魏都区机房街,42
魏都区新兴路,75
魏都区新兴街道裴山庙仓库路许由西村,31
魏都区文峰路,47
魏都区文化街,33
魏都区文会街,52
魏都区察院西街洋帆服装城,85
魏都区奎楼商业街,58
魏都区天宝社区,60
魏都区向阳路,74
魏都区后刘社区,64
魏都区古槐街,32
魏都区华佗路,41
魏都区北关社区,116
魏都区光明路,57
魏都区五一路,126
魏都区丁庄社区,37
魏北办事处鹿鸣湖社区,36
魏北办事处金湾社区,35
魏北办事处辛张社区,65
魏北办事处王庄社区,38
魏北办事处俎庄社区,54
高龙镇火神凹,42
高新区花卉市场,35
高新区红河批发城C,72
高新区红河批发城B,52
高新区红河批发城A,95
高新区水暖建材市场,60
高新区杜官屯村,36
高新区杜官屯,49
高新区小吴村,38
高新区后营村,103
高新区后营,51
高新区华强新天地,49
高新区化工建材市场,49
高新区前张村,62
高新区五金交电大世界,130
高新区三山村,33
高新区,40
高店下二门街,40
高平镇高平集,102
高平镇河门头村,34
驿城区雪松路,36
驿城区贸易广场,99
驿城区诸市乡,53
驿城区板桥镇板桥街,33
驿城区板桥街,42
驿城区文化路,40
驿城区乐山路中段,394
驿城区乐山路,78
驻马店开发区金山,55
驻马店开发区通达路,73
驻马店开发区置地大道,74
驻马店开发区泰山路,68
驻马店开发区泰山,34
驻马店开发区文明路北段,52
驻马店开发区学院路,71
驻马店开发区关王庙街,59
驻马店开发区关王庙,69
驻马店市驿城区驿春市场,65
驻马店市驿城区风光路南段路西,33
驻马店市驿城区风光路南段,56
驻马店市驿城区风光路北段,61
驻马店市驿城区风光路中段路西,47
驻马店市驿城区风光路中段,36
驻马店市驿城区顺河乡马庄村委,118
驻马店市驿城区雪松大道中段,31
驻马店市驿城区金三角市场,41
驻马店市驿城区贸易广场,147
驻马店市驿城区诸市镇诸市街,31
驻马店市驿城区解放大道西段,33
驻马店市驿城区蚁蜂镇蚁蜂街,266
驻马店市驿城区胡庙乡臧集街,54
驻马店市驿城区胡庙乡胡庙街,65
驻马店市驿城区老河乡老河街,48
驻马店市驿城区浙江商贸城,346
驻马店市驿城区浙江商城西区,41
驻马店市驿城区浙江商城东区,32
驻马店市驿城区沙河店镇沙河店街,33
驻马店市驿城区沙河店街,49
驻马店市驿城区水屯镇王坡村,41
驻马店市驿城区水屯镇水屯街,125
驻马店市驿城区水屯镇水屯村,55
驻马店市驿城区板桥镇板桥街,82
驻马店市驿城区朱古洞乡秦庄村,32
驻马店市驿城区文化路西段,36
驻马店市驿城区富强路南段路西,42
驻马店市驿城区富强路北段,173
驻马店市驿城区富强路中段,98
驻马店市驿城区宏源市场,64
驻马店市驿城区天龙市场,92
驻马店市驿城区古城乡洪沟庙村,31
驻马店市驿城区古城乡吴桂桥村,33
驻马店市驿城区古城乡古城街,58
驻马店市驿城区十三香路中段,34
驻马店市驿城区前进大道中段,40
驻马店市驿城区刘阁办事处刘阁街,70
驻马店市驿城区众信市场水果区,53
驻马店市驿城区众信市场副食区,36
驻马店市驿城区众信市场,435
驻马店市驿城区交通路中段,31
驻马店市驿城区交通路东段,65
驻马店市驿城区乐山路南段西刘庄市场,148
驻马店市驿城区乐山路中段,39
驻马店市驿城区乐山大道南段路西（西刘庄农贸市场）,93
驻马店市驿城区乐山大道南段路西（西刘庄农贸市场B区,32
驻马店市驿城区中华大道西段,40
驻马店市驿城区中华大道中段路南,32
驻马店市驿城区中华大道中段路北,40
驻马店市驿城区中华大道东段路南,41
驻马店市驿城区中华大道东段路北,53
驻马店市驿城区东风市场,34
驻马店市雪松路贸易广场,35
驻马店市金河,189
驻马店市金山,338
驻马店市通达路与文娱二路交叉口东南角爱家会展国际,38
驻马店市解放路与骏马路交叉口置地新天地,43
驻马店市置地大道西段,33
驻马店市淮河大道与薄山路交叉口西南侧东方今典高铁新城,38
驻马店市泰山路,61
驻马店市泌阳县付庄乡开元路,2859
驻马店市正阳县铜钟镇铜钟街,174
驻马店市正阳县大林镇大林街,134
驻马店市文祥路,33
驻马店市文明路北段,44
驻马店市开源,85
驻马店市开发区骏马路北段,42
驻马店市开发区雪松路西段,32
驻马店市开发区雪松路中段,37
驻马店市开发区金雀路西段,56
驻马店市开发区金雀路东段,69
驻马店市开发区置地大道东段置地华庭,33
驻马店市开发区置地大道东段建业森林半岛,34
驻马店市开发区润生发时达建材城,31
驻马店市开发区文明路北段翡翠城,35
驻马店市开发区文明路北段,50
驻马店市开发区建业市场,116
驻马店市开发区安居装饰城,46
驻马店市开发区团结路东段,38
驻马店市开发区关王庙乡关王庙街,80
驻马店市开发区关王庙乡,139
驻马店市开发区乐山路北段,106
驻马店市开发区丰泽路东段,47
驻马店市建业市场,44
驻马店市关王庙,40
驻马店市乐山路北段,39
马蹬镇黄庄街,77
马蹬镇黄庄村,42
马蹬镇石桥村,33
马蹬镇新建路,37
马村乡龙马社区,131
马村乡马村街,75
马家乡马家村,35
马家乡科泉村,70
马头镇开发区,36
饶良镇饶良街,36
顿岗乡顿岗集,58
顺河区曹门关中街,36
顺和乡顺和东街,100
项城市青年路北段,43
项城市青年路,31
项城市郑郭镇南街,43
项城市郑郭南街,51
项城市通济大道路东,41
项城市迎宾大道路东,33
项城市迎宾大道,31
项城市贾岭集,33
项城市西大街路北,32
项城市西大街,218
项城市莲花大道,46
项城市范集街,103
项城市第一农贸市场,42
项城市秣陵镇项新路,56
项城市秣陵镇长虹路,43
项城市秣陵镇西大街,129
项城市王明口集,35
项城市湖滨路欧蓓莎商城,51
项城市江南步行街,69
项城市永丰镇永丰集,38
项城市欧蓓莎商城,41
项城市李寨镇李寨集,32
项城市李寨镇南商贸城,44
项城市新桥镇宋桥集,42
项城市新桥镇北街,71
项城市文化路南段,31
项城市张庄大街,59
项城市建材大世界,111
项城市工业路南段,44
项城市富民路南段路西,31
项城市富民路,36
项城市官会镇西街,55
项城市孙店街,64
项城市孙店南街,39
项城市孙店东街,134
项城市团结路南段,34
项城市团结南路路西,36
项城市团结南路路东,41
项城市团结南路,51
项城市商城二期,42
项城市南顿镇南顿村,50
项城市南大街,132
项城市北大街,71
项城市光武荣楼,49
项城市光武祥盛路,33
项城市光武大道路南,37
项城市光武大道,34
项城市付集镇东街,44
项城市交通路西段,37
项城市交通路中段,46
项城市交通路,59
项城市交通西路,104
项城市交通中路,61
项城市东大街路北,36
项城市东大街,180
项城市丁集南街,61
韭园镇湾赵街,103
青龙背街,110
青年湖便民点,55
青山镇双桥街,32
青华镇青华街,32
陕州区西站批发市场,44
陕州区西站商贸城,129
陕州区张茅乡张茅街,55
陕县观音堂镇老街,40
陕县西李村乡李村街,41
陕县西张村镇张村街,124
陕县西张村镇宜村街,43
陕县菜园乡菜园街,96
陕县温塘海联市场,34
陕县温塘永乐街,51
陕县温塘卧龙街,36
陕县张茅乡张茅街,56
陕县张汴乡张汴街,39
陕县店子乡店子街,33
陕县宫前乡宫前街,37
陕县商贸城,91
陌陂乡陌陂街,33
陈淋子镇街道,125
陈吴乡陈吴街,45
阳邵乡阳邵集,82
长葛市香港商业街,32
长葛市长社路西段,36
长葛市长社路东段北侧（金桥农机商贸市场）,85
长葛市长社路东段北侧,39
长葛市钟繇大道南段西侧,31
长葛市钟繇大道南段东侧,31
长葛市董村镇董村社区,71
长葛市董村镇口王村,32
长葛市老城镇槐树陈村,72
长葛市老城镇尹家堂社区,48
长葛市老城镇和平社区,250
长葛市老城镇台庙社区,57
长葛市老城镇东关社区,45
长葛市石象镇田庄村,50
长葛市石固镇老石固村,43
长葛市石固镇朝阳村,122
长葛市石固镇南寨西街村,67
长葛市石固镇南寨东街村,55
长葛市石固镇北寨西街村,45
长葛市石固镇北寨东街村,33
长葛市石固镇乔庄村,33
长葛市建设办贺庄村,36
长葛市市区长社路东段南侧,60
长葛市市区长社路东段北侧,49
长葛市市区铁东路南段东侧,31
长葛市市区钟繇大道南段西侧,34
长葛市市区建设路南段,54
长葛市市区建设路中段,40
长葛市市区人民路中段,39
长葛市官亭乡尚庄村,77
长葛市官亭乡大孟村,33
长葛市官亭乡东岗李村,75
长葛市大周镇陈庄村,31
长葛市大周镇邢庄村,39
长葛市大周镇赵庄村,123
长葛市大周镇赵名寰村,43
长葛市大周镇老冀庄村,32
长葛市大周镇石桥路村,61
长葛市大周镇王皮庙村,56
长葛市大周镇柳庄营村,33
长葛市大周镇新魏庄村,33
长葛市大周镇新尚庄村,64
长葛市大周镇打鱼李村,37
长葛市大周镇庞庄村,51
长葛市大周镇小谢庄村,105
长葛市大周镇小河董村,43
长葛市大周镇大周村,221
长葛市大周镇和尚杨村,118
长葛市大周镇双庙李村,116
长葛市大周镇付桥村,31
长葛市坡胡镇西杨村,43
长葛市坡胡镇水磨河村,85
长葛市和尚桥镇樊楼村,57
长葛市和尚桥镇任庄村,32
长葛市和尚桥镇于井村,116
长葛市后河镇后河村,165
长葛市古桥镇陈故村,34
长葛市古桥镇古桥村,75
长葛市古桥乡古桥村,42
长葛市人民路北段西侧,38
长葛市人民路北段东侧,41
长庆路黄河路西南角,44
长垣市丁栾镇医疗器械回归双创园,52
长垣县魏庄办事处总管村南街,33
长垣县蒲西区西关大街,31
长垣县蒲西区蒲西街,34
长垣县蒲西区亿隆商业街二期,49
长垣县蒲西区亿隆商业街一期,31
长垣县蒲东区长城商贸城西区,58
长垣县蒲东区金源市场,54
长垣县蒲东区县前街,37
长垣县蒲东区南大街,32
长垣县苗寨镇苗寨村,64
长垣县武邱乡罗圈村,45
长垣县武邱乡武邱村,53
长垣县樊相镇樊东村,33
长垣县方里镇方南村,39
长垣县张三寨镇张东村,49
长垣县常村镇韦庄村,89
长垣县常村镇常村北街,84
长垣县常村镇北街,37
长垣县孟岗镇孟岗村,77
长垣县南蒲区国际万商城,46
长垣县南蒲区健康产业园创业园C,73
长垣县丁栾镇商业街中段路西,32
镇平县高丘镇高丘街,99
镇平县马庄乡马庄街,87
镇平县马庄乡马庄村,44
镇平县马庄乡府前街,35
镇平县贾宋镇鞋帽市场,31
镇平县贾宋镇车站路北段,131
镇平县贾宋镇车站路,474
镇平县贾宋镇车站北路,41
镇平县贾宋镇贾宋街,35
镇平县贾宋镇民族街,88
镇平县贾宋镇桥北村,59
镇平县贾宋镇文化市场,871
镇平县贾宋镇府佑路,34
镇平县贾宋镇华鑫市场,244
镇平县贾宋镇华星市场,1454
镇平县老庄镇寺庄街,110
镇平县石佛寺镇龙翔路西段,44
镇平县石佛寺镇龙翔路,78
镇平县石佛寺镇贺营村,42
镇平县石佛寺镇贺庄村,91
镇平县石佛寺镇贺庄工贸区,33
镇平县石佛寺镇西河街,40
镇平县石佛寺镇菜市街,38
镇平县石佛寺镇老毕庄新村,88
镇平县石佛寺镇真玉天地,50
镇平县石佛寺镇玉雕湾西区,38
镇平县石佛寺镇玉雕湾东区,64
镇平县石佛寺镇玉博苑市场A区,32
镇平县石佛寺镇玉博苑市场,115
镇平县石佛寺镇玉博苑,37
镇平县石佛寺镇玉之友商贸城碧玉大厅,45
镇平县石佛寺镇玉之友商贸城,590
镇平县石佛寺镇榆树庄玉雕批发市场,50
镇平县石佛寺镇榆树庄批发市场,132
镇平县石佛寺镇新民路,130
镇平县石佛寺镇新兴路北段,33
镇平县石佛寺镇新兴路,59
镇平县石佛寺镇宝玉城,187
镇平县石佛寺镇天下玉源市场南大厅,31
镇平县石佛寺镇天下玉源市场北大厅,60
镇平县石佛寺镇天下玉源南大厅,61
镇平县石佛寺镇天下玉源北大厅A－,64
镇平县石佛寺镇天下玉源北大厅A-,47
镇平县石佛寺镇天下玉源北大厅,31
镇平县石佛寺镇天下玉源,39
镇平县石佛寺镇国际玉城,117
镇平县石佛寺镇万玉玉雕批发市场,66
镇平县王岗乡王岗街,43
镇平县玉都办刘洼村,43
镇平县玉都办五里岗,58
镇平县涅阳路西段,74
镇平县涅阳路中段,61
镇平县涅阳路东段,98
镇平县校场路北段,64
镇平县校场路中段,33
镇平县柳泉铺街,38
镇平县杨营镇杨营街,41
镇平县杨营镇小岗村,45
镇平县曲屯镇曲屯街,121
镇平县晁陂镇黄花路,36
镇平县晁陂镇甲林村,46
镇平县晁陂镇晁陂街,36
镇平县新华路南段,53
镇平县御景华城,40
镇平县张林镇交通街,32
镇平县建设大道西段,46
镇平县建设大道中段,38
镇平县建设大道东段,103
镇平县工业路西段,80
镇平县工业园区鸿安路,44
镇平县工业园区新星路,49
镇平县安子营乡安子营街,48
镇平县城涅阳路西段,40
镇平县城文化路,39
镇平县城工业路西段,35
镇平县城关镇贸易中心,38
镇平县城关镇新华路南段,35
镇平县城关镇中山街东段,45
镇平县城中山街西段,49
镇平县卢医镇卢医街,84
镇平县华鑫市场,60
镇平县华星市场,48
镇平县健康路南段,44
镇平县健康路北段路西,32
镇平县健康路北段,47
镇平县健康路中段,42
镇平县中山街西段,78
镇平县中山街中段,45
镇平县中山街东段,87
镇平县,81
锦绣皇城,43
铁门镇铁门村,53
铁门镇沟头村,63
铁门镇庙头村,104
钱江家居广场,64
金鹿商城,66
金牛山师院东门,32
金水区金水路,126
金水区大石桥街道金水路,65
金水区大石桥街道同乐路,36
金水区大石桥街道南阳路,67
金水区大石桥街道健康路,39
金水区大石桥街道优胜南路,66
金水区同乐路,50
金水区南阳路,179
金水区健康路,52
金水区优胜南路,117
金桥建材市场,96
金明区黄汴河中街,65
金明区翠园北街,34
金明区杏花营镇杏花营村,37
金明区晋安路,45
金明区大梁路,86
采桑镇南采桑村,68
鄢陵县马栏镇马栏街,61
鄢陵县马栏镇议台村,46
鄢陵县陶城镇陶北村,76
鄢陵县陶城乡陶北村,75
鄢陵县迎宾大道豫中国际商贸城,33
鄢陵县柏梁镇柏梁社区,35
鄢陵县望田镇北村,82
鄢陵县新区,31
鄢陵县彭店乡彭店街,64
鄢陵县张桥镇金桥路,61
鄢陵县大马镇大马村,51
鄢陵县城南大街,36
鄢陵县城,32
鄢陵县只乐镇西只乐村,101
鄢陵县只乐乡西只乐村,48
郾城区龙江新苑,35
郾城区龙塔街道市场路,36
郾城区龙城镇宁沟刘村,53
郾城区龙城镇大军王村,287
郾城区龙城镇十五里店村,124
郾城区龙城镇仲李村,48
郾城区黄河路西段,173
郾城区黄河路中段,1302
郾城区黄河路,43
郾城区黄河西段,55
郾城区黄河中段,130
郾城区黄山路中段,38
郾城区陵园路社区陵园路西,94
郾城区陵园路社区冠生园小区,72
郾城区金牛社区盛世雅苑,31
郾城区金牛社区三元住宅,36
郾城区金牛工贸小区,98
郾城区辽河路西段,478
郾城区辽河路市场,51
郾城区辽河路中段,37
郾城区辽河路,259
郾城区裴城镇裴城村,103
郾城区裴城镇苏侯村,190
郾城区裴城镇斗杨村,44
郾城区裴城镇中周村,32
郾城区裴城镇三丁村,203
郾城区舟山路中段,465
郾城区淞江街道香陈湾村,354
郾城区淞江街道英张社区,415
郾城区淞江街道岷山姜庄,65
郾城区淞江街道尧河路,33
郾城区淞江街道小赵村,191
郾城区淞江街道太白山路,54
郾城区淞江小区,41
郾城区海河路西段,173
郾城区海河路中段,216
郾城区海河路,76
郾城区沙北黄河路中段,115
郾城区沙北崂山路中段,107
郾城区李集镇魏李村,120
郾城区李集镇陈西村,150
郾城区李集镇陈东村,120
郾城区李集镇郭东村,101
郾城区李集镇西孟村,91
郾城区李集镇老集村,210
郾城区李集镇老官田村,49
郾城区李集镇相树张村,37
郾城区李集镇白庄村,79
郾城区李集镇田庄村,54
郾城区李集镇潘付刘村,104
郾城区李集镇李集村,418
郾城区李集镇小田庄村,66
郾城区李集镇大宋村,336
郾城区李集镇吕庄村,32
郾城区李集镇后李村,100
郾城区李集镇位李村,110
郾城区李集镇东孟村,35
郾城区李集镇,40
郾城区李集乡李集村,172
郾城区新都市场,156
郾城区新店镇闫李村,250
郾城区新店镇薛庄村,197
郾城区新店镇游庄村,144
郾城区新店镇春庄村,107
郾城区新店镇新店村,484
郾城区新店镇斗王村,84
郾城区新店镇尧河庙村,149
郾城区新店镇周石黄村,237
郾城区新店镇周庄村,71
郾城区新店镇台东村,37
郾城区新店镇前丁村,210
郾城区新店镇冯庄村,49
郾城区新店镇冉口村,36
郾城区德国小镇,43
郾城区建材市场,79
郾城区崂山路中段,104
郾城区孟庙镇马坡村,55
郾城区孟庙镇路堂村,283
郾城区孟庙镇西营村,51
郾城区孟庙镇薛赵村,73
郾城区孟庙镇王店村,51
郾城区孟庙镇潘西村,35
郾城区孟庙镇潘北村,115
郾城区孟庙镇潘东村,41
郾城区孟庙镇沈赵村,138
郾城区孟庙镇杜李村,299
郾城区孟庙镇新郑村,226
郾城区孟庙镇文明路文明花园小区,49
郾城区孟庙镇文明路,31
郾城区孟庙镇张店村,53
郾城区孟庙镇张任庄村,60
郾城区孟庙镇孟庙村,87
郾城区孟庙镇坡陈村,160
郾城区孟庙镇刘庄村,34
郾城区孟庙镇八里村,473
郾城区孟庙镇何庄村,48
郾城区孟庙镇中原路龙江新苑小区,45
郾城区孟庙镇中原路,46
郾城区孟庙镇三周村,176
郾城区商贸大世界,35
郾城区商桥镇靳庄村,62
郾城区商桥镇靳勒桥村,36
郾城区商桥镇胡湾村,37
郾城区商桥镇大闫村,34
郾城区商桥镇大杨村,101
郾城区商桥镇坡边村,37
郾城区商桥镇商西村,70
郾城区商桥镇商南村,356
郾城区商桥镇商东村,147
郾城区商桥镇刘孟村,132
郾城区商桥镇党湾村,32
郾城区名仕家园,32
郾城区华山路,43
郾城区华山农贸市场,67
郾城区井冈山路西,51
郾城区井冈山路,138
郾城区MOCO新世界,69
郸城县钱店镇钱店北街路东,43
郸城县钱店镇钱店中心街,33
郸城县钱店镇胡楼行政村大谷楼一组,98
郸城县钱店镇王楼村,67
郸城县钱店镇王君庄村,293
郸城县钱店镇张湾中心街,33
郸城县钱店镇张寨村,98
郸城县钱店镇张寨,145
郸城县钱店镇常庄村,43
郸城县钱店镇孙堂村一组,118
郸城县钱店镇大陈村,82
郸城县钱店镇大冯村一组,50
郸城县钱店镇后胡村一组,56
郸城县钱店镇北街路东,41
郸城县钱店镇前杨集一组,128
郸城县钱店镇前杨集,300
郸城县钱店镇任庄村一组,35
郸城县虎岗乡虎岗集,37
郸城县胡集乡闫楼集路南,31
郸城县胡集乡胡集村,115
郸城县胡集乡胡集乡史桥村,33
郸城县胡集乡胡集中心街路西,48
郸城县胡集乡胡集中心街路东,34
郸城县胡集乡罗屯,153
郸城县胡集乡王瓦房村,77
郸城县胡集乡王楼集,66
郸城县胡集乡武河沟村,165
郸城县胡集乡晋岗村,194
郸城县胡集乡大任庄,490
郸城县胡集乡史桥村,203
郸城县石槽镇石槽中心街,48
郸城县石槽镇,83
郸城县白马镇老牙集,65
郸城县白马镇白马集北街,46
郸城县白马镇白马集,641
郸城县白马镇电商园A栋一排,45
郸城县白马镇电商产业园D栋第五排,115
郸城县白马镇电商产业园D栋第二排,76
郸城县白马镇电商产业园D栋第三排,94
郸城县白马镇电商产业园D栋第一排,67
郸城县白马镇电商产业园D栋,38
郸城县白马镇电商产业园C栋二排,31
郸城县白马镇电商产业园C栋三排,135
郸城县白马镇电商产业园C栋一排,46
郸城县白马镇电商产业园C栋,184
郸城县白马镇电商产业园B栋第,160
郸城县白马镇电商产业园B栋三排,150
郸城县白马镇电商产业园B栋一排,66
郸城县白马镇电商产业园B栋,52
郸城县白马镇电商产业园A栋第,458
郸城县白马镇电商产业园A栋二排,63
郸城县白马镇电商产业园A栋一排,79
郸城县白马镇电商产业园A-,66
郸城县白马镇刘楼行政村刘楼村,254
郸城县汲冢镇黄竹园二组,43
郸城县汲冢镇郑集村,122
郸城县汲冢镇蒋寺村一组,68
郸城县汲冢镇徐洼村,131
郸城县汲冢镇孙庄村,107
郸城县汲冢镇喻寨村一组,85
郸城县汲冢镇史庄村,201
郸城县汲冢镇南街路西,56
郸城县汲冢镇南街路东,61
郸城县汲冢镇刘庄村,97
郸城县汲冢镇东街路南,68
郸城县汲冢镇东街路北,66
郸城县汲冢镇丁寨村,67
郸城县汲冢镇,239
郸城县李楼乡南街路西,100
郸城县李楼乡南街路东,68
郸城县李楼乡北街路东,48
郸城县新城区科技大道,70
郸城县新华路西段路南,51
郸城县新华路西段路北,48
郸城县新华路西段,83
郸城县新华路中段路北,37
郸城县新华路中段,65
郸城县新华路东段路南,35
郸城县新华路东段,97
郸城县文化路北段路东,32
郸城县支农路北段路东,35
郸城县支农路北段,70
郸城县巴集乡中心街,55
郸城县宜路镇高庄村一组,63
郸城县宜路镇王康楼村一组,216
郸城县宜路镇牛庄村一组,185
郸城县宜路镇段庄村一组,478
郸城县宜路镇杨庄村一组,31
郸城县宜路镇左庄村一组,240
郸城县宜路镇北头村二组,79
郸城县宜路镇北头村一组,69
郸城县宜路镇前陈村二组,47
郸城县宜路镇前陈村一组,138
郸城县宜路镇刘老庄村二组,34
郸城县宜路镇刘老庄村一组,112
郸城县宜路镇党庄村二组,50
郸城县宜路镇党庄村一组,84
郸城县宜路镇东街,95
郸城县宜路镇三里村一组,183
郸城县宁平镇西街路南,51
郸城县宁平镇西街路北,32
郸城县宁平镇白水村,58
郸城县宁平镇梁崔村,200
郸城县宁平镇杨中楼村,214
郸城县宁平镇南街路东,33
